variant,mean,std,count
FullCNN,0.9748777952730137,0.027630613887639596,10
NoConv2,0.9555963551051823,0.014775228249955518,10
NoHidden,0.9747292258664343,0.0046438801587326385,10
NoDropout,0.98040056385192,0.0071326891889670375,10
Linear,0.7514243472549186,0.0790012613022369,10
