basic,mean,std
NoGeometry,0.02244241332978466,0.002192690852010422
NoConcentration,0.03219400621729075,0.00365686834193562
NoMoments,0.00024412921615580007,0.002379328694942047
NoOrientation,0.06717615192066381,0.006008486430253971
