seed,enhanced,basic,ablation_imv
46,NoMoments,FullFeatures,0.0015119207070552858
46,NoMoments,NoGeometry,0.02117500477050846
46,NoMoments,NoConcentration,0.031525278897769654
46,NoMoments,NoMoments,0.0
46,NoMoments,NoOrientation,0.06686167495164132
46,NoOrientation,FullFeatures,-0.06125419609580427
46,NoOrientation,NoGeometry,-0.04282342430493976
46,NoOrientation,NoConcentration,-0.0331218159612617
46,NoOrientation,NoMoments,-0.06267136267189655
46,NoOrientation,NoOrientation,0.0
47,FullFeatures,FullFeatures,0.0
47,FullFeatures,NoGeometry,0.025992271634357786
47,FullFeatures,NoConcentration,0.037676703962330735
47,FullFeatures,NoMoments,0.0020410318713096525
47,FullFeatures,NoOrientation,0.07915658695535252
47,NoGeometry,FullFeatures,-0.02533378891144405
47,NoGeometry,NoGeometry,0.0
47,NoGeometry,NoConcentration,0.011388421385826027
47,NoGeometry,NoMoments,-0.023344464110723686
47,NoGeometry,NoOrientation,0.0518174617790312
47,NoConcentration,FullFeatures,-0.036308711391962074
47,NoConcentration,NoGeometry,-0.011260185646797666
47,NoConcentration,NoConcentration,0.0
47,NoConcentration,NoMoments,-0.0343417867578096
47,NoConcentration,NoOrientation,0.039973801892855806
47,NoMoments,FullFeatures,-0.002036874545444541
47,NoMoments,NoGeometry,0.023902454092442942
47,NoMoments,NoConcentration,0.03556308669762907
47,NoMoments,NoMoments,0.0
47,NoMoments,NoOrientation,0.07695848037283436
47,NoOrientation,FullFeatures,-0.07335041819897396
47,NoOrientation,NoGeometry,-0.04926469055893765
47,NoOrientation,NoConcentration,-0.038437316228639135
47,NoOrientation,NoMoments,-0.07145909686898232
47,NoOrientation,NoOrientation,0.0
48,FullFeatures,FullFeatures,0.0
48,FullFeatures,NoGeometry,0.01981587152765714
48,FullFeatures,NoConcentration,0.03005828483691417
48,FullFeatures,NoMoments,-0.002344656650140657
48,FullFeatures,NoOrientation,0.0599550811881757
48,NoGeometry,FullFeatures,-0.01943083264430224
48,NoGeometry,NoGeometry,0.0
48,NoGeometry,NoConcentration,0.010043394690371087
48,NoGeometry,NoMoments,-0.021729930663465662
48,NoGeometry,NoOrientation,0.039359271395130464
48,NoConcentration,FullFeatures,-0.029181149532400686
48,NoConcentration,NoGeometry,-0.009943527914906955
48,NoConcentration,NoConcentration,0.0
48,NoConcentration,NoMoments,-0.031457386406231455
48,NoConcentration,NoOrientation,0.029024373466395633
48,NoMoments,FullFeatures,0.0023501669847904873
48,NoMoments,NoGeometry,0.022212609119486776
48,NoMoments,NoConcentration,0.0324790938103478
48,NoMoments,NoMoments,0.0
48,NoMoments,NoOrientation,0.06244615262534507
48,NoOrientation,FullFeatures,-0.056563794308121036
48,NoOrientation,NoGeometry,-0.037868783661590445
48,NoOrientation,NoConcentration,-0.028205720111976987
48,NoOrientation,NoMoments,-0.05877582828177997
48,NoOrientation,NoOrientation,0.0
49,FullFeatures,FullFeatures,0.0
49,FullFeatures,NoGeometry,0.02139488809392078
49,FullFeatures,NoConcentration,0.03444592142185768
49,FullFeatures,NoMoments,-0.0011381536952543019
49,FullFeatures,NoOrientation,0.06617286343682975
49,NoGeometry,FullFeatures,-0.02094673504176912
49,NoGeometry,NoGeometry,0.0
49,NoGeometry,NoConcentration,0.012777656790795304
49,NoGeometry,NoMoments,-0.02206104813313212
49,NoGeometry,NoOrientation,0.04384002295769418
49,NoConcentration,FullFeatures,-0.03329890979173795
49,NoConcentration,NoGeometry,-0.01261644814646096
49,NoConcentration,NoConcentration,0.0
49,NoConcentration,NoMoments,-0.03439916420976484
49,NoConcentration,NoOrientation,0.030670469434847816
49,NoMoments,FullFeatures,0.0011394505651255592
49,NoMoments,NoGeometry,0.022558717076375755
49,NoMoments,NoConcentration,0.03562462141161364
49,NoMoments,NoMoments,0.0
49,NoMoments,NoOrientation,0.06738771470859438
49,NoOrientation,FullFeatures,-0.062065792242657715
49,NoOrientation,NoGeometry,-0.04199879482822913
49,NoOrientation,NoConcentration,-0.029757784223375966
49,NoOrientation,NoMoments,-0.06313330552712215
49,NoOrientation,NoOrientation,0.0
50,FullFeatures,FullFeatures,0.0
50,FullFeatures,NoGeometry,0.024360053300811854
50,FullFeatures,NoConcentration,0.03553768962386259
50,FullFeatures,NoMoments,0.004060289533465519
50,FullFeatures,NoOrientation,0.06775160154627889
50,NoGeometry,FullFeatures,-0.02378075289280958
50,NoGeometry,NoGeometry,0.0
50,NoGeometry,NoConcentration,0.010911823715726573
50,NoGeometry,NoMoments,-0.01981702010141266
50,NoGeometry,NoOrientation,0.04235966455900515
50,NoConcentration,FullFeatures,-0.034318103512747
50,NoConcentration,NoGeometry,-0.010794041042688439
50,NoConcentration,NoConcentration,0.0
50,NoConcentration,NoMoments,-0.03039715541578267
50,NoConcentration,NoOrientation,0.0311083915585123
50,NoMoments,FullFeatures,-0.004043870249417119
50,NoMoments,NoGeometry,0.020217674156577367
50,NoMoments,NoConcentration,0.03135010956864251
50,NoMoments,NoMoments,0.0
50,NoMoments,NoOrientation,0.06343375261101841
50,NoOrientation,FullFeatures,-0.06345258714495346
50,NoOrientation,NoGeometry,-0.040638242249067084
50,NoOrientation,NoConcentration,-0.03016985586887932
50,NoOrientation,NoMoments,-0.059649933486943904
50,NoOrientation,NoOrientation,0.0
51,FullFeatures,FullFeatures,0.0
51,FullFeatures,NoGeometry,0.024206087421816368
51,FullFeatures,NoConcentration,0.026648944459219264
51,FullFeatures,NoMoments,0.0014422480825041723
51,FullFeatures,NoOrientation,0.0657943478215536
51,NoGeometry,FullFeatures,-0.023634000733923737
51,NoGeometry,NoGeometry,0.0
51,NoGeometry,NoConcentration,0.0023851225523880463
51,NoGeometry,NoMoments,-0.022225838743659968
