seed,enhanced,basic,ablation_imv
47,FullCNN,NoHidden,-0.04007168128701411
47,FullCNN,NoDropout,-0.037659772163506924
47,FullCNN,Linear,0.14028198008521164
47,NoConv2,FullCNN,0.03328162788308676
47,NoConv2,NoConv2,0.0
47,NoConv2,NoHidden,-0.008123704189171412
47,NoConv2,NoDropout,-0.005631522803727832
47,NoConv2,Linear,0.17823242062819702
47,NoHidden,FullCNN,0.04174445164899376
47,NoHidden,NoConv2,0.008190239270241387
47,NoHidden,NoHidden,0.0
47,NoHidden,NoDropout,0.002512592947295204
47,NoHidden,Linear,0.18788242606909764
47,NoDropout,FullCNN,0.03913353206502922
47,NoDropout,NoConv2,0.005663416462684446
47,NoDropout,NoHidden,-0.0025062956465298964
47,NoDropout,NoDropout,0.0
47,NoDropout,Linear,0.18490524151605128
47,Linear,FullCNN,-0.12302393840752318
47,Linear,NoConv2,-0.15127102047758031
47,Linear,NoHidden,-0.15816584364399777
47,Linear,NoDropout,-0.15605065707994548
47,Linear,Linear,0.0
48,FullCNN,FullCNN,0.0
48,FullCNN,NoConv2,0.011716202162204753
48,FullCNN,NoHidden,0.005857157884655235
48,FullCNN,NoDropout,-7.544367059371732e-05
48,FullCNN,Linear,0.07902345187982694
48,NoConv2,FullCNN,-0.011580522420383595
48,NoConv2,NoConv2,0.0
48,NoConv2,NoHidden,-0.005791193483931336
48,NoConv2,NoDropout,-0.011655092413858526
48,NoConv2,Linear,0.06652779660321291
48,NoHidden,FullCNN,-0.005823051353507288
48,NoHidden,NoConv2,0.005824926761838874
48,NoHidden,NoHidden,0.0
48,NoHidden,NoDropout,-0.00589805571173284
48,NoHidden,Linear,0.07274024290789201
48,NoDropout,FullCNN,7.544936277058869e-05
48,NoDropout,NoConv2,0.011792535504962572
48,NoDropout,NoHidden,0.005933049166255868
48,NoDropout,NoDropout,0.0
48,NoDropout,Linear,0.07910486351168579
48,Linear,FullCNN,-0.0732360837404931
48,Linear,NoConv2,-0.062377930340960126
48,Linear,NoHidden,-0.06780788116115977
48,Linear,NoDropout,-0.07330600221210953
48,Linear,Linear,0.0
49,FullCNN,FullCNN,0.0
49,FullCNN,NoConv2,0.005959230587905323
49,FullCNN,NoHidden,-0.0027159925972233007
49,FullCNN,NoDropout,0.0038644154410601124
49,FullCNN,Linear,0.07397130982220454
49,NoConv2,FullCNN,-0.005923928531798067
49,NoConv2,NoConv2,0.0
49,NoConv2,NoHidden,-0.008623831782982525
49,NoConv2,NoDropout,-0.002082405611627971
49,NoConv2,Linear,0.06760918053761623
49,NoHidden,FullCNN,0.002723389302407998
49,NoHidden,NoConv2,0.008698849195147004
49,NoHidden,NoHidden,0.0
49,NoHidden,NoDropout,0.006598329051140354
49,NoHidden,Linear,0.07689615179846744
49,NoDropout,FullCNN,-0.003849539222248688
49,NoDropout,NoConv2,0.0020867510737740693
49,NoDropout,NoHidden,-0.006555076499441641
49,NoDropout,NoDropout,0.0
49,NoDropout,Linear,0.06983701514147417
49,Linear,FullCNN,-0.06887643007377027
49,Linear,NoConv2,-0.06332765001474629
49,Linear,NoHidden,-0.07140535479679004
49,Linear,NoDropout,-0.06527818177261234
49,Linear,Linear,0.0
50,FullCNN,FullCNN,0.0
50,FullCNN,NoConv2,0.012949332029117867
50,FullCNN,NoHidden,0.0022934383426794556
50,FullCNN,NoDropout,0.0001914816407258987
50,FullCNN,Linear,0.14434544095404858
50,NoConv2,FullCNN,-0.012783790481581195
50,NoConv2,NoConv2,0.0
50,NoConv2,NoHidden,-0.010519670974156979
50,NoConv2,NoDropout,-0.012594756702031406
50,NoConv2,Linear,0.12971636859833938
50,NoHidden,FullCNN,-0.0022881905188082653
50,NoHidden,NoConv2,0.010631510971535673
50,NoHidden,NoHidden,0.0
50,NoHidden,NoDropout,-0.0020971470245572015
50,NoHidden,Linear,0.14172696056581607
50,NoDropout,FullCNN,-0.00019144498252653578
50,NoDropout,NoConv2,0.012755407961947286
50,NoDropout,NoHidden,0.00210155429288948
50,NoDropout,NoDropout,0.0
50,NoDropout,Linear,0.14412636176110083
50,Linear,FullCNN,-0.12613799626248068
50,Linear,NoConv2,-0.11482206702845331
50,Linear,NoHidden,-0.12413384763689836
50,Linear,NoDropout,-0.125970667732237
50,Linear,Linear,0.0
51,FullCNN,FullCNN,0.0
51,FullCNN,NoConv2,0.009615995731874095
51,FullCNN,NoHidden,0.006090398938406806
51,FullCNN,NoDropout,0.002412604093003833
51,FullCNN,Linear,0.15072774750345375
51,NoConv2,FullCNN,-0.00952440905505209
51,NoConv2,NoConv2,0.0
51,NoConv2,NoHidden,-0.003492017567443126
51,NoConv2,NoDropout,-0.007134783590317919
51,NoConv2,Linear,0.13976774572523215
51,NoHidden,FullCNN,-0.006053530522538723
51,NoHidden,NoConv2,0.0035042544856678697
51,NoHidden,NoHidden,0.0
51,NoHidden,NoDropout,-0.00365553120205069
51,NoHidden,Linear,0.14376178196080935
51,NoDropout,FullCNN,-0.0024067974436402756
51,NoDropout,NoConv2,0.007186054534288289
51,NoDropout,NoHidden,0.0036689431381708233
51,NoDropout,NoDropout,0.0
51,NoDropout,Linear,0.1479581789024365
51,Linear,FullCNN,-0.13098471626365416
51,Linear,NoConv2,-0.1226282690043121
51,Linear,NoHidden,-0.12569206650212703
51,Linear,NoDropout,-0.12888812643322897
51,Linear,Linear,0.0
