enhanced,FullFeatures,NoGeometry,NoConcentration,NoMoments,NoOrientation
FullFeatures,0.0,0.02244241332978466,0.03219400621729075,0.00024412921615580007,0.06717615192066381
NoGeometry,-0.021945760453751673,0.0,0.00953880366872082,-0.02171070651492083,0.04374899900344013
NoConcentration,-0.031178937525563156,-0.009439112057890591,0.0,-0.03094638121125367,0.03388937712335256
NoMoments,-0.00023897925637753997,0.02219418601101731,0.03194310819464189,0.0,0.06691264873726518
NoOrientation,-0.06292088687103686,-0.041897130971828636,-0.03276503732545364,-0.06269956435099795,0.0
