,FullFeatures,NoGeometry,NoConcentration,NoMoments,NoOrientation
FullFeatures,0.0,0.002192690852010422,0.00365686834193562,0.002379328694942047,0.006008486430253971
NoGeometry,0.0020963864332659795,0.0,0.0033022964243916066,0.0013155991269030284,0.0047852976251132485
NoConcentration,0.0034315421959901084,0.0032481960711779247,0.0,0.002928872872104351,0.004071166452749438
NoMoments,0.002377714599659353,0.0013749873201647621,0.0031120959683975475,0.0,0.0047384244183473765
NoOrientation,0.005267139159672389,0.00439093536059404,0.003808125401679213,0.004148276568559785,0.0
