,FullBiGRU,UniGRU,OneLayer,NoAttention,MeanPoolMLP
FullBiGRU,0.0,0.03711232402015912,0.04433456377616827,0.03322634052717816,0.0423395818619342
UniGRU,0.0341393248580204,0.0,0.02988981593782724,0.036335225626775894,0.05540037319404926
OneLayer,0.042955277451809194,0.03019256752383647,0.0,0.027613187826985068,0.03680425640860722
NoAttention,0.033187571235618746,0.03736364306056692,0.028346742923444797,0.0,0.029378756194405647
MeanPoolMLP,0.02303110207561417,0.03084720532458971,0.020579250621239848,0.015666609182390014,0.0
