seed,enhanced,basic,ablation_imv
46,OneLayer,UniGRU,0.03663258487833718
46,OneLayer,OneLayer,0.0
46,OneLayer,NoAttention,-0.01747620333076115
46,OneLayer,MeanPoolMLP,0.31644478194038217
46,NoAttention,FullBiGRU,0.017428814424146
46,NoAttention,UniGRU,0.05507122411948435
46,NoAttention,OneLayer,0.017787053494282352
46,NoAttention,NoAttention,0.0
46,NoAttention,MeanPoolMLP,0.33986045569902457
46,MeanPoolMLP,FullBiGRU,-0.2406456880665691
46,MeanPoolMLP,UniGRU,-0.21255141187890464
46,MeanPoolMLP,OneLayer,-0.24037831763361647
46,MeanPoolMLP,NoAttention,-0.25365362060910623
46,MeanPoolMLP,MeanPoolMLP,0.0
47,FullBiGRU,FullBiGRU,0.0
47,FullBiGRU,UniGRU,0.003092675139736857
47,FullBiGRU,OneLayer,0.01553866530461711
47,FullBiGRU,NoAttention,-0.013512650336393251
47,FullBiGRU,MeanPoolMLP,0.3670998895435926
47,UniGRU,FullBiGRU,-0.0030831399893394983
47,UniGRU,UniGRU,0.0
47,UniGRU,OneLayer,0.012407617434895985
47,UniGRU,NoAttention,-0.016554128933118653
47,UniGRU,MeanPoolMLP,0.36288492920471915
47,OneLayer,FullBiGRU,-0.015300909591616771
47,OneLayer,UniGRU,-0.012255555194589268
47,OneLayer,OneLayer,0.0
47,OneLayer,NoAttention,-0.02860680408686974
47,OneLayer,MeanPoolMLP,0.3461820177309768
47,NoAttention,FullBiGRU,0.013697743149976611
47,NoAttention,UniGRU,0.0168327809594239
47,NoAttention,OneLayer,0.02944925310082982
47,NoAttention,NoAttention,0.0
47,NoAttention,MeanPoolMLP,0.3858260726909221
47,MeanPoolMLP,FullBiGRU,-0.26852455504633915
47,MeanPoolMLP,UniGRU,-0.266262339122403
47,MeanPoolMLP,OneLayer,-0.2571584029286583
47,MeanPoolMLP,NoAttention,-0.27840872696365565
47,MeanPoolMLP,MeanPoolMLP,0.0
48,FullBiGRU,FullBiGRU,0.0
48,FullBiGRU,UniGRU,0.00551921041846111
