,FullCNN,NoConv2,NoHidden,NoDropout,Linear
FullCNN,0.0,0.016610069253427524,0.014546685815248107,0.012326219954150728,0.04814226272540606
NoConv2,0.01670558809563281,0.0,0.007319380726907549,0.008049896804111672,0.04730313172114962
NoHidden,0.01504336593409759,0.007531016675055147,0.0,0.004726782291490523,0.05151324617933558
NoDropout,0.012787957392925002,0.00833347234435227,0.004743604113453851,0.0,0.05124576970550592
Linear,0.03738545988333718,0.03801364021150148,0.04028042125278289,0.03984800245121619,0.0
