seed,variant,geometric_mean_likelihood,information_deficit_nats,roc_auc,balanced_accuracy,parameters,minutes,cached
42,FullFeatures,0.732407582633577,0.38172906745616125,0.9257171407642154,0.842492864869395,3042,0.022164388233310697,False
42,NoGeometry,0.7031357979608714,0.3409419439525802,0.9072912188618866,0.825823178349554,2914,0.017835607400047592,False
42,NoConcentration,0.6940606592429077,0.3279512635141431,0.898505968057584,0.8028372134890052,2850,0.01402118528324839,False
42,NoMoments,0.7373319134214341,0.38843004981060425,0.9296293379188543,0.8472625192636887,2850,0.014064221433363855,False
42,NoOrientation,0.6630735826721624,0.28227787002792315,0.8643510406659765,0.7748790636101355,2914,0.013670520866677785,False
43,FullFeatures,0.737840706854754,0.38911985851028014,0.93290920885796,0.8267393190315155,3042,0.022465397033374756,False
43,NoGeometry,0.7072082282901017,0.3467170478591518,0.9110400723523195,0.8120719503621496,2914,0.01749497078320322,False
43,NoConcentration,0.6895795463219292,0.32147396028139985,0.8960449493828635,0.7870433167222008,2850,0.014075554466641431,False
43,NoMoments,0.7359573044382438,0.38656400834989824,0.9316447504217449,0.8291775433112903,2850,0.013962711516796844,False
43,NoOrientation,0.6531113854447284,0.26713959126162823,0.851824987157541,0.7563581812284375,2914,0.013578472283309868,False
44,FullFeatures,0.7357641590332219,0.3863015328599027,0.9265017529374702,0.8424271976124666,3042,0.03202893541674712,False
44,NoGeometry,0.7058306699194045,0.3447672659970122,0.908742397341805,0.8205725137231957,2914,0.01599421265006337,False
44,NoConcentration,0.6952690385342931,0.3296907780412171,0.8980143851061618,0.8006070486864997,2850,0.013856392849993427,False
44,NoMoments,0.7369806224166865,0.3879535009068183,0.9268567635140693,0.8493811370270987,2850,0.02447749933344312,False
44,NoOrientation,0.6544840674747435,0.2692391435829459,0.8521867875539112,0.7663737473752497,2914,0.034333882483285075,False
45,FullFeatures,0.7306826150854915,0.3793710879549394,0.9258278148264834,0.8413773944784411,3042,0.02263739301682411,False
45,NoGeometry,0.697456860380183,0.3328325644433054,0.9033644720934529,0.8115244968937545,2914,0.02816238171653822,False
45,NoConcentration,0.6878464904987872,0.31895759034020893,0.8965999686504321,0.7887513443843146,2850,0.029371418049898543,False
45,NoMoments,0.7267253443133674,0.3739405144878966,0.9237728273740703,0.8340532158914373,2850,0.016048497333395063,False
45,NoOrientation,0.6519350552199499,0.2653368499848402,0.8541205282246986,0.7572204883393575,2914,0.017428163216876177,False
46,FullFeatures,0.7358295888457772,0.3863904566035551,0.9296045065779774,0.8422444544632007,3042,0.022437250833415117,False
46,NoGeometry,0.7081566273769515,0.3480571959135506,0.9136905269986514,0.8121629339470813,2914,0.017982678599946667,False
46,NoConcentration,0.6952828042300631,0.32971057693737765,0.9014405281626205,0.8042311634879964,2850,0.014628551899901747,False
46,NoMoments,0.7381568000914924,0.38954816985915863,0.9304683656477023,0.8446621152888119,2850,0.014574416133352011,False
