enhanced,FullBiGRU,UniGRU,OneLayer,NoAttention,MeanPoolMLP
FullBiGRU,0.0,0.01211576189504094,0.005900101863903639,-0.005464753039599752,0.3599011295686991
UniGRU,-0.010844856523657933,0.0,-0.006016101817621799,-0.016687218949002283,0.3448449220726615
OneLayer,-0.004164154519414573,0.006869181910888178,0.0,-0.01059122241182837,0.3529542649243126
NoAttention,0.00649194753373813,0.018212098994358255,0.01141632630200563,0.0,0.3677389689430404
MeanPoolMLP,-0.26400719722989363,-0.25527693139758706,-0.26037310891931637,-0.2685634956496631,0.0
