enhanced,FullCNN,NoConv2,NoHidden,NoDropout,Linear
FullCNN,0.0,0.009919794544879571,8.49641067554501e-05,-0.0028027492925225507,0.12943652583771656
NoConv2,-0.00957514594449228,0.0,-0.00968758740940064,-0.012514963944294891,0.11847638732089472
NoHidden,0.0001119638411107497,0.00983244834382711,0.0,-0.0028503131427182996,0.12958834383841658
NoDropout,0.0029528885559898595,0.012734710469601502,0.002878697720510889,0.0,0.13281179121280612
Linear,-0.11316971635842818,-0.10448013758342231,-0.11306949240552897,-0.115619512411969,0.0
