example,dataset,model,method,k,selected_features,dropped_features,importance,accuracy_mean,accuracy_std_across_seeds,precision_mean,precision_std_across_seeds,n_seeds,n_splits
shap_imv_breast_cancer,Breast Cancer,lightgbm,shap_imv,5,radius1;concave_points1;concavity1;compactness1;texture1,smoothness1;symmetry1;fractal_dimension1,0.1266;0.1262;0.1128;0.0684;0.0496,0.9397023809523808,0.0049366173025404,0.9340808473753552,0.0069472481547254,10,10
shap_imv_breast_cancer,Breast Cancer,lightgbm,shap,5,concave_points1;radius1;concavity1;texture1;smoothness1,symmetry1;compactness1;fractal_dimension1,2.08194;2.01498;1.3672;1.36292;0.71912,0.9439317042606516,0.0054790049606127,0.9387490200643044,0.0072708586438456,10,10
shap_imv_breast_cancer,Breast Cancer,lightgbm,lime,5,radius1;texture1;concave_points1;concavity1;smoothness1,compactness1;symmetry1;fractal_dimension1,0.241533;0.168556;0.161037;0.121228;0.0615208,0.9439317042606516,0.0054790049606127,0.9387490200643044,0.0072708586438456,10,10
shap_imv_breast_cancer,Breast Cancer,lightgbm,anchors,5,radius1;concave_points1;texture1;concavity1;smoothness1,compactness1;fractal_dimension1;symmetry1,0.786691;0.768646;0.301273;0.28005;0.0641329,0.9439317042606516,0.0054790049606127,0.9387490200643044,0.0072708586438456,10,10
shap_imv_adult_income,Adult Income,logistic_regression,shap_imv,5,married;education-num;capital-gain;age;hours-per-week,sex_female;capital-loss;race_white,0.059;0.041;0.032;0.0129;0.012,0.8377831563302394,6.747490994265619e-05,0.709383050482666,0.0002965060758489,10,10
shap_imv_adult_income,Adult Income,logistic_regression,shap,5,married;education-num;capital-gain;age;hours-per-week,capital-loss;race_white;sex_female,1.18191;0.703776;0.568994;0.290239;0.244056,0.8377831563302394,6.747490994265619e-05,0.709383050482666,0.0002965060758489,10,10
shap_imv_adult_income,Adult Income,logistic_regression,lime,5,capital-gain;married;capital-loss;education-num;hours-per-week,age;race_white;sex_female,0.599818;0.280746;0.155737;0.153232;0.0855761,0.8416097616179501,0.0001214916696663,0.7135365880625151,0.0004225494589343,10,10
shap_imv_adult_income,Adult Income,logistic_regression,anchors,5,married;education-num;capital-gain;age;hours-per-week,sex_female;capital-loss;race_white,0.691325;0.480229;0.207945;0.160517;0.104306,0.8377831563302394,6.747490994265619e-05,0.709383050482666,0.0002965060758489,10,10
shap_imv_adult_income,Adult Income,xgboost,shap_imv,5,married;capital-gain;education-num;age;capital-loss,hours-per-week;sex_female;race_white,0.05;0.045;0.034;0.0278;0.0177,0.8597151050743679,0.0002454570771174,0.7941944751403582,0.0012452190024567,10,10
shap_imv_adult_income,Adult Income,xgboost,shap,5,married;age;education-num;capital-gain;hours-per-week,capital-loss;race_white;sex_female,1.14249;0.691862;0.570786;0.406158;0.331666,0.8529012814806058,0.0002917765606701,0.757672329148534,0.0014124023057958,10,10
shap_imv_adult_income,Adult Income,xgboost,lime,5,capital-gain;married;hours-per-week;education-num;capital-loss,age;race_white;sex_female,0.699984;0.129148;0.0661399;0.0595488;0.0580798,0.8598338270810126,0.000221722878587,0.7895941120827595,0.0007090232884483,10,10
shap_imv_adult_income,Adult Income,xgboost,anchors,5,married;education-num;age;capital-gain;hours-per-week,sex_female;capital-loss;race_white,0.596987;0.554136;0.362664;0.34346;0.154453,0.8529012814806058,0.0002917765606701,0.757672329148534,0.0014124023057958,10,10
shap_imv_adult_income,Adult Income,lightgbm,shap_imv,5,married;capital-gain;education-num;age;capital-loss,hours-per-week;sex_female;race_white,0.05;0.045;0.034;0.0278;0.0177,0.8599526065099249,0.0002638439036051,0.7944668978826015,0.000957668563046,10,10
shap_imv_adult_income,Adult Income,lightgbm,shap,5,married;age;education-num;capital-gain;hours-per-week,capital-loss;sex_female;race_white,1.17644;0.762508;0.591996;0.445515;0.358577,0.8529504135660738,0.0002612056139587,0.7591097048597956,0.0016126718585568,10,10
shap_imv_adult_income,Adult Income,lightgbm,lime,5,capital-gain;married;education-num;hours-per-week;capital-loss,age;race_white;sex_female,0.688176;0.141491;0.0776622;0.0728764;0.0593076,0.8600447156004986,0.0003305340923011,0.7902952321413055,0.0009698910833677,10,10
shap_imv_adult_income,Adult Income,lightgbm,anchors,5,married;education-num;capital-gain;age;hours-per-week,sex_female;race_white;capital-loss,0.623078;0.531885;0.325381;0.313348;0.15946,0.8529504135660738,0.0002612056139587,0.7591097048597956,0.0016126718585568,10,10
