model,f1_weighted_mean,f1_weighted_std,roc_auc_ovr_weighted_mean,roc_auc_ovr_weighted_std,log_loss_mean,log_loss_std,hamming_loss_mean,hamming_loss_std,cohens_kappa_mean,cohens_kappa_std,jaccard_weighted_mean,jaccard_weighted_std
lightgbm,0.9976407310703864,0.0006026758084158879,0.9999862082998792,1.1622329553662659e-05,0.05672615823939061,0.0006352269130550953,0.0023594615993665874,0.0006027596695115417,0.9964596008333926,0.0009044019350898481,0.9952993134319105,0.001196524427887131
logistic_regression,0.787415303960438,0.0005258698482879557,0.9176582308084535,6.52224120801745e-05,0.39263996498198933,0.00012642871903755396,0.21250989707046714,0.0005278437582475591,0.6810534175662523,0.0007910113082977274,0.6787350272769006,0.0006013833503528813
xgboost,0.9940310001207541,0.0005253380532826759,0.9999162098031465,1.1440215068702577e-05,0.08037830912027799,0.0004917524102099597,0.005969912905779889,0.0005254630927313726,0.9910428259386255,0.000788279676806608,0.98817009878885,0.0010319709482668345
