model,class,class_name,multi_imv_mean,multi_imv_std,brier_loss_mean,brier_loss_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std
lightgbm,0,not_recom,0.5198478286606268,2.1324745460201335e-07,1.1902837971104378e-08,8.773332925783893e-10,1.0,0.0,1.0,0.0,1.0,0.0
lightgbm,1,priority,0.4947136783725384,0.0002097472243498079,0.010491442263903576,0.000279696890063663,0.9976405384006334,0.0006027596695115262,0.9997875515755436,0.0002827536824802551,0.9932255039849978,0.0016628728957025715
lightgbm,2,spec_prior,0.4560651415387601,0.00020373954111001027,0.010491384737096546,0.0002796845120538402,0.9976405384006334,0.0006027596695115262,0.99290529617516,0.0017304483274799937,0.9997774480712167,0.0002960482195197436
logistic_regression,0,not_recom,0.5196007701270114,2.2342620292522517e-06,3.9185076304404425e-06,6.1868540882792e-08,1.0,0.0,1.0,0.0,1.0,0.0
logistic_regression,1,priority,0.30984168748068586,9.999945301591348e-05,0.1345047768459695,5.311811477749497e-05,0.7874901029295328,0.0005278437582475618,0.6819981537871,0.0007392403196011606,0.6948195030473512,0.0012426027454944767
logistic_regression,2,spec_prior,0.2756083404407284,9.759768932877509e-05,0.13450553916235738,5.306881745271091e-05,0.7874901029295328,0.0005278437582475618,0.6715533295706462,0.0009612324764761311,0.6582344213649851,0.0009853345533972222
xgboost,0,not_recom,0.5197867779593951,8.432413438360028e-07,3.9282053884933935e-07,1.3312769065059114e-08,1.0,0.0,1.0,0.0,1.0,0.0
xgboost,1,priority,0.48658919478123186,0.00017949303555237452,0.01674144719632476,0.0001672723142110598,0.99403008709422,0.0005254630927313412,0.9992376287567687,0.00027038435918081793,0.983075480543835,0.0015422947074824568
xgboost,2,spec_prior,0.4481423742876232,0.0001735958762542536,0.016742606845946743,0.00016686294379342467,0.99403008709422,0.0005254630927313412,0.982448177120489,0.0015708554156782814,0.9992087042532146,0.00028073502086920827
