seed,model,f1_weighted,roc_auc_ovr_weighted,log_loss,hamming_loss,cohens_kappa,jaccard_weighted
42,logistic_regression,0.6389687639057933,0.7742386870520249,0.6849397063567366,0.3101851851851852,0.16513311604026648,0.5250239328484346
42,xgboost,0.9655986714322421,0.9973492335056634,0.14053130256821186,0.034722222222222224,0.9250581146564585,0.934643482240149
42,lightgbm,0.9782370944276269,0.9991762119676845,0.08341007158340916,0.02199074074074074,0.9524910302075261,0.9580672921461264
43,logistic_regression,0.6354724968512145,0.7736606826289223,0.6861849225154932,0.3130787037037037,0.15594527830345406,0.5210320523704336
43,xgboost,0.969758245626348,0.9975238501784227,0.13780523680902435,0.030671296296296297,0.9339288471166735,0.9428282296613874
43,lightgbm,0.9800824780262751,0.9992414308185187,0.08040652746539546,0.02025462962962963,0.9562874074052659,0.9616588971901855
44,logistic_regression,0.6409532702171014,0.774534795574692,0.6857596876104478,0.3072916666666667,0.16959090789794018,0.5275278384220481
44,xgboost,0.9661165207602325,0.9969174503137049,0.1401250901934185,0.03414351851851852,0.9261621894092802,0.93645531584069
44,lightgbm,0.9794080911219029,0.9988278568816836,0.08413322788943424,0.020833333333333332,0.955084768402227,0.9606535871271382
45,logistic_regression,0.634455521142513,0.7710451440831436,0.6874861109558571,0.3119212962962963,0.15289187045700936,0.5213297280033335
45,xgboost,0.9638223063067135,0.9971350752579066,0.14026712227038826,0.036458333333333336,0.9214857019220367,0.9323416358727713
45,lightgbm,0.981170535997332,0.9991403511236049,0.08097270007088143,0.019097222222222224,0.9588460675203355,0.9636045642248868
46,logistic_regression,0.6424819778531417,0.7734248174091293,0.6870241605738191,0.3055555555555556,0.17252487729137722,0.5282569363116005
46,xgboost,0.9708120560980498,0.9974365417520015,0.13841957988014794,0.029513888888888888,0.9362611579859429,0.9443462173179951
46,lightgbm,0.9771526392696783,0.9992179926518623,0.08051447934324046,0.023148148148148147,0.9500502604800869,0.9562298861166583
47,logistic_regression,0.6422617734106171,0.7737381754210867,0.6853057414416979,0.30787037037037035,0.17221780500345318,0.526942691255857
47,xgboost,0.9708453118972307,0.9972496947737739,0.13741656904741356,0.029513888888888888,0.9363753714468885,0.9445197627561954
47,lightgbm,0.980043608636008,0.9990365194283449,0.08211302096571887,0.02025462962962963,0.9563938397646652,0.9614526811797972
48,logistic_regression,0.6417561827997716,0.7715316417449293,0.6894708273765526,0.30787037037037035,0.17136346592056295,0.527249494115319
48,xgboost,0.9629883983467379,0.9972506349045092,0.14202788973210612,0.03761574074074074,0.9192067414033082,0.9308546012833014
48,lightgbm,0.9761209748286288,0.9989274866434832,0.08686807495283774,0.024305555555555556,0.9476415768126983,0.9548309987130487
49,logistic_regression,0.6369349243591593,0.7732375449658555,0.6872371977140956,0.3107638888888889,0.15880698274619498,0.5227764540191768
49,xgboost,0.963955036683929,0.9973685101008911,0.14107573090441541,0.036458333333333336,0.9214018064068964,0.9322776403348901
49,lightgbm,0.9789423753337444,0.9993500996422986,0.08208784634065035,0.02141203703703704,0.9538513174562502,0.9596534487385937
50,logistic_regression,0.635172252224759,0.7715248571845966,0.6886564304756327,0.3136574074074074,0.1551585719414531,0.5207946383697353
50,xgboost,0.9669472243102022,0.9959150599876554,0.14387956787200606,0.03356481481481482,0.9279600985890892,0.9375896004711671
50,lightgbm,0.9765095962703335,0.997997661942467,0.08930096508621356,0.023726851851851853,0.9488577302441616,0.9545977076844628
51,logistic_regression,0.6358986505847235,0.7725282080782168,0.6863046248962053,0.3142361111111111,0.1578493882474583,0.5210076448213067
51,xgboost,0.9684880621170128,0.997209677072939,0.13905954465439288,0.031828703703703706,0.9312815158557202,0.940121620789565
51,lightgbm,0.9811171919317113,0.9989517675305437,0.08364420569318627,0.019097222222222224,0.9586489855499147,0.9636231780028593
