model,f1_weighted_mean,f1_weighted_std,roc_auc_ovr_weighted_mean,roc_auc_ovr_weighted_std,log_loss_mean,log_loss_std,hamming_loss_mean,hamming_loss_std,cohens_kappa_mean,cohens_kappa_std,jaccard_weighted_mean,jaccard_weighted_std
lightgbm,0.9275414164057155,0.0010637534485216313,0.994101564796002,5.917387706703971e-05,0.19613373360352088,0.0011383624347404372,0.07246344868121372,0.0010736845422462224,0.9123235505216398,0.001302623169083545,0.8665587006225284,0.0018249693954164458
logistic_regression,0.9242794386352895,0.00038042076829640004,0.9933961882634395,2.805399640305979e-05,0.2140555789319511,0.0005946990568024795,0.07585041510542943,0.0003828593979548446,0.9082774148353,0.00046370639035434383,0.8609896528999673,0.0006324518145668147
xgboost,0.9273484286016073,0.0008242811057161314,0.9941707014611294,6.221430980903709e-05,0.1929515298126615,0.0009313063877068846,0.07264712364998897,0.0008332358943925051,0.9120999188595892,0.0010115642031756733,0.8662380494338306,0.0014273369031283796
