seed,model,class,multi_imv,brier_loss,accuracy,precision,recall
42,logistic_regression,0,0.5195998745561898,3.939591284398304e-06,1.0,1.0,1.0
42,logistic_regression,1,0.30984779694632364,0.1345209235690866,0.7879651623119557,0.682780847145488,0.6952648851383029
42,logistic_regression,2,0.2756116423447856,0.13452259103362965,0.7879651623119557,0.6722138174483107,0.6592482690405539
42,xgboost,0,0.519787597838741,3.8069295196359777e-07,1.0,1.0,1.0
42,xgboost,1,0.48683900442139316,0.016502631856547302,0.9949326999208234,0.9995244888254874,0.9854664791373652
42,xgboost,2,0.44838488660646814,0.016504441001389474,0.9949326999208234,0.9848927875243665,0.9995054401582592
42,lightgbm,0,0.5198479733856919,1.118876932610024e-08,1.0,1.0,1.0
42,lightgbm,1,0.49480637253640697,0.010276978674159214,0.9986539984164687,1.0,0.9960150023441162
42,lightgbm,2,0.45615469537307574,0.010276970125188366,0.9986539984164687,0.9958138389559222,1.0
43,logistic_regression,0,0.519599566724447,3.947661539765991e-06,1.0,1.0,1.0
43,logistic_regression,1,0.3098734111552597,0.13448661181229773,0.7868566904196358,0.6810860561435803,0.6938584153774027
43,logistic_regression,2,0.2756372088252933,0.13448737972963357,0.7868566904196358,0.670534813319879,0.6572700296735905
43,xgboost,0,0.5197855231078916,4.123681086746822e-07,1.0,1.0,1.0
43,xgboost,1,0.4867989851734178,0.016589146546374455,0.9939034045922407,0.9990469382892543,0.9828879512423816
43,xgboost,2,0.4483409342471809,0.016591131325011263,0.9939034045922407,0.9822513980063214,0.9990108803165183
43,lightgbm,0,0.5198478636855102,1.1758946203782734e-08,1.0,1.0,1.0
43,lightgbm,1,0.4946091129954082,0.01062477957069729,0.9979414093428345,0.9995287464655985,0.9943741209563994
43,lightgbm,2,0.4559632735095181,0.010624691459493962,0.9979414093428345,0.9940973930152484,0.9995054401582592
44,logistic_regression,0,0.5196021747056438,3.8774096204976455e-06,1.0,1.0,1.0
44,logistic_regression,1,0.30995873182887074,0.1344696514643257,0.7874109263657957,0.6814321781042001,0.695968120018753
44,logistic_regression,2,0.27572465238951305,0.13446977421061704,0.7874109263657957,0.6718947634707817,0.6567754698318496
44,xgboost,0,0.5197872689675961,3.861248214622507e-07,1.0,1.0,1.0
44,xgboost,1,0.4864550548117057,0.016997995416636533,0.9934283452098179,0.9995223310246,0.9810126582278481
44,xgboost,2,0.4480128876799509,0.01699827291971603,0.9934283452098179,0.980354111084162,0.9995054401582592
44,lightgbm,0,0.5198480546194971,1.1188197595792939e-08,1.0,1.0,1.0
44,lightgbm,1,0.494777997327932,0.01033420888482855,0.997624703087886,0.9995283018867924,0.9934364744491326
44,lightgbm,2,0.45612763350104313,0.010334099994914449,0.997624703087886,0.9931203931203931,0.9995054401582592
45,logistic_regression,0,0.5196028406691869,3.862297113715171e-06,1.0,1.0,1.0
45,logistic_regression,1,0.3097661753929266,0.13450652127520024,0.7877276326207443,0.6822257990342607,0.6954992967651196
45,logistic_regression,2,0.27553819378482747,0.13450652106162322,0.7877276326207443,0.6720525119919213,0.6582591493570722
45,xgboost,0,0.5197874546296257,3.776136360079514e-07,1.0,1.0,1.0
45,xgboost,1,0.4865090978560981,0.016752652233841935,0.9939034045922407,0.9990469382892543,0.9828879512423816
45,xgboost,2,0.448063529504942,0.016754060292112224,0.9939034045922407,0.9822513980063214,0.9990108803165183
45,lightgbm,0,0.5198480480985126,1.0965071148731781e-08,1.0,1.0,1.0
45,lightgbm,1,0.49465763357329406,0.010501257070254268,0.9975455265241489,0.9995281906109932,0.9932020628223159
45,lightgbm,2,0.4560112375882791,0.010501266518813343,0.9975455265241489,0.9928764431343651,0.9995054401582592
46,logistic_regression,0,0.5196009150731313,3.918243510905843e-06,1.0,1.0,1.0
46,logistic_regression,1,0.3098779608995206,0.13448397894476935,0.7878068091844814,0.6827188940092166,0.6945616502578528
46,logistic_regression,2,0.2756431201859718,0.13448616549667233,0.7878068091844814,0.6717884130982368,0.6594955489614244
46,xgboost,0,0.51978822616976,3.708005335041653e-07,1.0,1.0,1.0
46,xgboost,1,0.4867549725764356,0.016645007372978384,0.9942201108471892,0.9990478457510117,0.9838255977496484
46,xgboost,2,0.44830857210319747,0.016646180739848353,0.9942201108471892,0.9832075930883427,0.9990108803165183
46,lightgbm,0,0.5198477431789404,1.199426214998706e-08,1.0,1.0,1.0
46,lightgbm,1,0.4950518021521481,0.010060175658002383,0.9983372921615202,1.0,0.9950773558368495
46,lightgbm,2,0.45639376580377655,0.010060091382966017,0.9983372921615202,0.9948339483394834,1.0
47,logistic_regression,0,0.5196027937778233,3.85749806394741e-06,1.0,1.0,1.0
47,logistic_regression,1,0.3097489392418773,0.13456138204210152,0.7865399841646873,0.6806258628624022,0.6933895921237694
47,logistic_regression,2,0.27552334044881727,0.1345605476575463,0.7865399841646873,0.6700302724520686,0.6567754698318496
47,xgboost,0,0.5197864777474885,3.983092768712772e-07,1.0,1.0,1.0
47,xgboost,1,0.4865280272958861,0.016695594792323295,0.9942201108471892,0.9995234691446271,0.983356774496015
47,xgboost,2,0.4480822846747577,0.01669604953446909,0.9942201108471892,0.9827376610746413,0.9995054401582592
47,lightgbm,0,0.5198476287354813,1.317061869084476e-08,1.0,1.0,1.0
47,lightgbm,1,0.494321538104092,0.011079408867061701,0.996437054631829,0.9992902767920511,0.9901547116736991
47,lightgbm,2,0.455684308905953,0.011079255850141986,0.996437054631829,0.9897134459955915,0.9992581602373887
48,logistic_regression,0,0.5195982711603812,3.98305348466453e-06,1.0,1.0,1.0
48,logistic_regression,1,0.309626773214534,0.13462672426847197,0.7883610451306413,0.6828092724351618,0.697374589779653
48,logistic_regression,2,0.27539560371502236,0.13462785335427987,0.7883610451306413,0.6734125980268151,0.6582591493570722
48,xgboost,0,0.5197863466465844,4.021257988411559e-07,1.0,1.0,1.0
48,xgboost,1,0.48664922338273564,0.016648607261511482,0.9933491686460808,0.9995222169135213,0.9807782466010314
48,xgboost,2,0.4481980540178096,0.016649847148301974,0.9933491686460808,0.9801163918525703,0.9995054401582592
48,lightgbm,0,0.5198478190128959,1.1867324389039459e-08,1.0,1.0,1.0
48,lightgbm,1,0.49464460051595954,0.010518359065150019,0.9972288202692003,1.0,0.9917955930614158
48,lightgbm,2,0.45599735398487384,0.010518238086201694,0.9972288202692003,0.9914194655552832,1.0
49,logistic_regression,0,0.5196045433853795,3.818949649750281e-06,1.0,1.0,1.0
49,logistic_regression,1,0.30992770837405825,0.13445850431857428,0.7873317498020586,0.6820276497695853,0.6938584153774027
49,logistic_regression,2,0.27569574483432796,0.13445836660759278,0.7873317498020586,0.6710327455919396,0.658753709198813
49,xgboost,0,0.519786080486303,4.022737132094813e-07,1.0,1.0,1.0
49,xgboost,1,0.48665941292088305,0.016760555585378013,0.9943784639746635,0.9990482988341661,0.9842944210032818
49,xgboost,2,0.4482103399497953,0.01676214971152587,0.9943784639746635,0.9836863890917945,0.9990108803165183
49,lightgbm,0,0.5198475558610777,1.2765455076942496e-08,1.0,1.0,1.0
49,lightgbm,1,0.49472806063353314,0.010512660098885782,0.9975455265241489,1.0,0.9927332395686826
49,lightgbm,2,0.45607889512052563,0.010512726782528105,0.9975455265241489,0.9923926380368098,1.0
50,logistic_regression,0,0.5195980388239968,4.000922155468869e-06,1.0,1.0,1.0
50,logistic_regression,1,0.30990934859905106,0.13446334724082837,0.78756927949327,0.6821634062140391,0.6947960618846695
50,logistic_regression,2,0.27567069353159457,0.13446285997497132,0.78756927949327,0.6716267339218159,0.6585064292779427
50,xgboost,0,0.5197860076354814,4.0239388578220666e-07,1.0,1.0,1.0
50,xgboost,1,0.4863941976611613,0.016793517362624657,0.9934283452098179,0.9988075363701407,0.9817158931082982
50,xgboost,2,0.44795637954929984,0.016794479891476387,0.9934283452098179,0.9810541656546029,0.9987636003956478
50,lightgbm,0,0.5198475132594418,1.3203551895308534e-08,1.0,1.0,1.0
50,lightgbm,1,0.49498167493351863,0.010300406260912639,0.997624703087886,1.0,0.9929676511954993
50,lightgbm,2,0.4563257007092343,0.010300318051843902,0.997624703087886,0.9926362297496318,1.0
51,logistic_regression,0,0.5195986823939348,3.979449881290381e-06,1.0,1.0,1.0
51,logistic_regression,1,0.3098800291544371,0.13447012352403934,0.7873317498020586,0.682111572153066,0.6936240037505861
51,logistic_regression,2,0.2756432043471304,0.13447333249700785,0.7873317498020586,0.6709466263846928,0.6590009891196835
51,xgboost,0,0.5197867963644786,3.95502662176625e-07,1.0,1.0,1.0
51,xgboost,1,0.4863039717126026,0.01702876353503154,0.9945368171021378,0.9992862241256245,0.9845288326300985
51,xgboost,2,0.44786587454283006,0.017029455895616784,0.9945368171021378,0.9839298758217677,0.9992581602373887
51,lightgbm,0,0.5198480867692192,1.092618323451377e-08,1.0,1.0,1.0
51,lightgbm,1,0.4945579909530908,0.010706188489083918,0.9974663499604117,1.0,0.992498827941866
51,lightgbm,2,0.4559145508913217,0.010706189118873645,0.9974663499604117,0.9921491658488715,1.0
