model,f1_weighted_mean,f1_weighted_std,roc_auc_ovr_weighted_mean,roc_auc_ovr_weighted_std,log_loss_mean,log_loss_std,hamming_loss_mean,hamming_loss_std,cohens_kappa_mean,cohens_kappa_std,jaccard_weighted_mean,jaccard_weighted_std
lightgbm,0.9788784585843242,0.0018245975177814194,0.998986737863049,0.00038305826507989876,0.08334511193909674,0.002866920944390735,0.02141203703703704,0.0018502436432533639,0.9538152983843131,0.00396747521743746,0.9594372241123758,0.00337004923160408
logistic_regression,0.6384355813348794,0.003207985873768698,0.7729464554142597,0.0012227358366877939,0.6868369409916537,0.0014405867792464785,0.31024305555555554,0.0029940111070510212,0.16314822638491697,0.007824114356962956,0.5241941410537245,0.00311130534677844
xgboost,0.9669331833578699,0.002930781611120497,0.9971355727847466,0.00046070429943818463,0.1400607633931525,0.0019867960798089055,0.033449074074074076,0.002960892570115725,0.9279121544792295,0.006320719442037186,0.9375978106568112,0.005149079641122803
