seed,model,f1_weighted,roc_auc_ovr_weighted,log_loss,hamming_loss,cohens_kappa,jaccard_weighted
42,logistic_regression,0.7878932194994448,0.9176279517968239,0.39265298445202335,0.21203483768804435,0.6817678725885993,0.6792796149562831
42,xgboost,0.9949334134404457,0.9999278934380836,0.07969084432633353,0.005067300079176564,0.9923969427944441,0.9899442898872337
42,lightgbm,0.9986540663854377,0.9999950942932262,0.05644528795189733,0.0013460015835312748,0.9979802565776837,0.9973136314123318
43,logistic_regression,0.7867820213828051,0.9176715288194915,0.3926176539992905,0.2131433095803642,0.6801028880646323,0.6780118791710681
43,xgboost,0.9939043369296129,0.9999138789512507,0.07981595963637857,0.0060965954077593035,0.9908527437056566,0.9879206211953263
43,lightgbm,0.9979415405846592,0.99999140354735,0.057050550667129746,0.002058590657165479,0.9969110129021793,0.9958959284262059
44,logistic_regression,0.7873231169298885,0.9176939115742585,0.3925194202722795,0.21258907363420426,0.680927384556082,0.6786351218241942
44,xgboost,0.9934294205959856,0.9998950946338562,0.08074055691403983,0.006571654790182106,0.9901401763701594,0.9869888133236274
44,lightgbm,0.9976248784706626,0.9999799383734458,0.05652608476667239,0.0023752969121140144,0.9964358138902231,0.995266852331257
45,logistic_regression,0.7876497115741522,0.9176510359744977,0.39267066049682586,0.21227236737925573,0.6814080492846943,0.6790038969439671
45,xgboost,0.9939043369296129,0.9999161579009472,0.08060516508182204,0.0060965954077593035,0.9908527437056566,0.9879206211953263
45,lightgbm,0.9975457137620984,0.9999927490790694,0.05690161212288136,0.002454473475851148,0.9963170153776671,0.9951096792190867
46,logistic_regression,0.7877394178285743,0.9176884874276308,0.39260054188514604,0.2121931908155186,0.6815328693372503,0.6791017628018176
46,xgboost,0.994220965294951,0.9999182485026641,0.07991274837127076,0.005779889152810768,0.9913278534178382,0.9885425999693194
46,lightgbm,0.998337393852728,0.9999940572349073,0.0557044365093849,0.00166270783847981,0.9975050436723183,0.9966831739576304
47,logistic_regression,0.7864652041783218,0.9176002535765528,0.392762485722367,0.21346001583531274,0.6796275580320388,0.677650729456423
47,xgboost,0.9942209947514511,0.9999265000850822,0.08055505133687524,0.005779889152810768,0.9913279258508173,0.9885426560834983
47,lightgbm,0.9964374230435816,0.9999573541196811,0.057909160599826114,0.0035629453681710215,0.9946538659702611,0.9929132366110109
48,logistic_regression,0.7882736281391405,0.9175092893346716,0.3929292869728972,0.21163895486935866,0.6823534074184012,0.6797215345731918
48,xgboost,0.9933502630535526,0.9999159690634425,0.08021161776555191,0.00665083135391924,0.9900214041501749,0.9868336323178684
48,lightgbm,0.9972290830491791,0.9999870121260851,0.05692571417566242,0.0027711797307996833,0.9958418610221556,0.9944814187415333
49,logistic_regression,0.7872642075699815,0.9177035407522711,0.3925149801624954,0.21266825019794142,0.6808198832238262,0.6785589532925429
49,xgboost,0.9943792797106953,0.9999138476150474,0.08018583756150707,0.0056215360253365,0.9915654112501855,0.9888538123452721
49,lightgbm,0.9975457370865608,0.9999901140794527,0.05668464312970163,0.002454473475851148,0.9963170461417594,0.9951097251164576
50,logistic_regression,0.7874960343174041,0.9177274300791909,0.39254547145810204,0.21243072050673,0.6811730465853508,0.6788262502093884
50,xgboost,0.9934293806415433,0.9999018875778624,0.08089905354155863,0.006571654790182106,0.9901400528418448,0.9869887382214964
50,lightgbm,0.9976249013182781,0.9999947860645884,0.05591108440982463,0.0023752969121140144,0.9964358436620496,0.9952668973165092
51,logistic_regression,0.7872664781846677,0.9177088787491472,0.3925861643984666,0.21266825019794142,0.6808212165716474,0.6785605295401301
51,xgboost,0.99453760985969,0.9999326202632288,0.08116625666744239,0.005463182897862233,0.991803005299476,0.9891652033495328
51,lightgbm,0.997466573150679,0.9999795740809867,0.05720300806092564,0.002533650039588282,0.9961982491176281,0.9949525911870811
