example,dataset,model,class_i,class_j,class_i_name,class_j_name,pairwise_imv
multi_imv_dry_bean,Dry Bean,logistic_regression,1,4,BOMBAY,HOROZ,0.2706548344414387
multi_imv_dry_bean,Dry Bean,logistic_regression,1,5,BOMBAY,SEKER,0.2558038654228093
multi_imv_dry_bean,Dry Bean,logistic_regression,1,6,BOMBAY,SIRA,0.1980283844323241
multi_imv_dry_bean,Dry Bean,logistic_regression,2,0,CALI,BARBUNYA,0.7664530644932848
multi_imv_dry_bean,Dry Bean,logistic_regression,2,1,CALI,BOMBAY,0.3199230822483286
multi_imv_dry_bean,Dry Bean,logistic_regression,2,2,CALI,CALI,0.0
multi_imv_dry_bean,Dry Bean,logistic_regression,2,3,CALI,DERMASON,0.459341552212174
multi_imv_dry_bean,Dry Bean,logistic_regression,2,4,CALI,HOROZ,0.825710585877937
multi_imv_dry_bean,Dry Bean,logistic_regression,2,5,CALI,SEKER,0.7969852360049569
multi_imv_dry_bean,Dry Bean,logistic_regression,2,6,CALI,SIRA,0.6099264931255612
multi_imv_dry_bean,Dry Bean,logistic_regression,3,0,DERMASON,BARBUNYA,0.3718206979001073
multi_imv_dry_bean,Dry Bean,logistic_regression,3,1,DERMASON,BOMBAY,0.147209094013049
multi_imv_dry_bean,Dry Bean,logistic_regression,3,2,DERMASON,CALI,0.4593415522121739
multi_imv_dry_bean,Dry Bean,logistic_regression,3,3,DERMASON,DERMASON,0.0
multi_imv_dry_bean,Dry Bean,logistic_regression,3,4,DERMASON,HOROZ,0.5372375567981607
multi_imv_dry_bean,Dry Bean,logistic_regression,3,5,DERMASON,SEKER,0.5551465593277979
multi_imv_dry_bean,Dry Bean,logistic_regression,3,6,DERMASON,SIRA,0.6653922053497683
multi_imv_dry_bean,Dry Bean,logistic_regression,4,0,HOROZ,BARBUNYA,0.6791104340914167
multi_imv_dry_bean,Dry Bean,logistic_regression,4,1,HOROZ,BOMBAY,0.2706548344414385
multi_imv_dry_bean,Dry Bean,logistic_regression,4,2,HOROZ,CALI,0.8257105858779384
multi_imv_dry_bean,Dry Bean,logistic_regression,4,3,HOROZ,DERMASON,0.5372375567981605
multi_imv_dry_bean,Dry Bean,logistic_regression,4,4,HOROZ,HOROZ,0.0
multi_imv_dry_bean,Dry Bean,logistic_regression,4,5,HOROZ,SEKER,0.9476659047152024
multi_imv_dry_bean,Dry Bean,logistic_regression,4,6,HOROZ,SIRA,0.7079990404424538
multi_imv_dry_bean,Dry Bean,logistic_regression,5,0,SEKER,BARBUNYA,0.6398525778455703
multi_imv_dry_bean,Dry Bean,logistic_regression,5,1,SEKER,BOMBAY,0.255803865425612
multi_imv_dry_bean,Dry Bean,logistic_regression,5,2,SEKER,CALI,0.7969852360078333
multi_imv_dry_bean,Dry Bean,logistic_regression,5,3,SEKER,DERMASON,0.5551465593296618
multi_imv_dry_bean,Dry Bean,logistic_regression,5,4,SEKER,HOROZ,0.9476659047178512
multi_imv_dry_bean,Dry Bean,logistic_regression,5,5,SEKER,SEKER,0.0
multi_imv_dry_bean,Dry Bean,logistic_regression,5,6,SEKER,SIRA,0.7414720159119546
multi_imv_dry_bean,Dry Bean,logistic_regression,6,0,SIRA,BARBUNYA,0.4919270441974098
multi_imv_dry_bean,Dry Bean,logistic_regression,6,1,SIRA,BOMBAY,0.1980283844323242
multi_imv_dry_bean,Dry Bean,logistic_regression,6,2,SIRA,CALI,0.6099264931255612
multi_imv_dry_bean,Dry Bean,logistic_regression,6,3,SIRA,DERMASON,0.6653922053497676
multi_imv_dry_bean,Dry Bean,logistic_regression,6,4,SIRA,HOROZ,0.7079990404424538
multi_imv_dry_bean,Dry Bean,logistic_regression,6,5,SIRA,SEKER,0.7414720159091951
multi_imv_dry_bean,Dry Bean,logistic_regression,6,6,SIRA,SIRA,0.0
multi_imv_dry_bean,Dry Bean,xgboost,0,0,BARBUNYA,BARBUNYA,0.0
multi_imv_dry_bean,Dry Bean,xgboost,0,1,BARBUNYA,BOMBAY,0.3946612175434607
multi_imv_dry_bean,Dry Bean,xgboost,0,2,BARBUNYA,CALI,0.7720087107341829
multi_imv_dry_bean,Dry Bean,xgboost,0,3,BARBUNYA,DERMASON,0.3723076199191031
multi_imv_dry_bean,Dry Bean,xgboost,0,4,BARBUNYA,HOROZ,0.6792169396238582
multi_imv_dry_bean,Dry Bean,xgboost,0,5,BARBUNYA,SEKER,0.6446700672126907
multi_imv_dry_bean,Dry Bean,xgboost,0,6,BARBUNYA,SIRA,0.4925313456119944
multi_imv_dry_bean,Dry Bean,xgboost,1,0,BOMBAY,BARBUNYA,0.3946612173271052
multi_imv_dry_bean,Dry Bean,xgboost,1,1,BOMBAY,BOMBAY,0.0
multi_imv_dry_bean,Dry Bean,xgboost,1,2,BOMBAY,CALI,0.3195625408385121
multi_imv_dry_bean,Dry Bean,xgboost,1,3,BOMBAY,DERMASON,0.1471999216158935
multi_imv_dry_bean,Dry Bean,xgboost,1,4,BOMBAY,HOROZ,0.2707143288242938
multi_imv_dry_bean,Dry Bean,xgboost,1,5,BOMBAY,SEKER,0.2574955513566462
multi_imv_dry_bean,Dry Bean,xgboost,1,6,BOMBAY,SIRA,0.1980041313990806
multi_imv_dry_bean,Dry Bean,xgboost,2,0,CALI,BARBUNYA,0.7720087108228469
multi_imv_dry_bean,Dry Bean,xgboost,2,1,CALI,BOMBAY,0.3195625407919416
multi_imv_dry_bean,Dry Bean,xgboost,2,2,CALI,CALI,0.0
multi_imv_dry_bean,Dry Bean,xgboost,2,3,CALI,DERMASON,0.4595286326051505
multi_imv_dry_bean,Dry Bean,xgboost,2,4,CALI,HOROZ,0.8276055827880358
multi_imv_dry_bean,Dry Bean,xgboost,2,5,CALI,SEKER,0.800968031216531
multi_imv_dry_bean,Dry Bean,xgboost,2,6,CALI,SIRA,0.6122004393246503
multi_imv_dry_bean,Dry Bean,xgboost,3,0,DERMASON,BARBUNYA,0.3723076193481553
multi_imv_dry_bean,Dry Bean,xgboost,3,1,DERMASON,BOMBAY,0.1471999219584938
multi_imv_dry_bean,Dry Bean,xgboost,3,2,DERMASON,CALI,0.4595286326714098
multi_imv_dry_bean,Dry Bean,xgboost,3,3,DERMASON,DERMASON,0.0
multi_imv_dry_bean,Dry Bean,xgboost,3,4,DERMASON,HOROZ,0.5391869585371281
multi_imv_dry_bean,Dry Bean,xgboost,3,5,DERMASON,SEKER,0.5575411346835877
multi_imv_dry_bean,Dry Bean,xgboost,3,6,DERMASON,SIRA,0.6745113904251067
multi_imv_dry_bean,Dry Bean,xgboost,4,0,HOROZ,BARBUNYA,0.6792169388941353
multi_imv_dry_bean,Dry Bean,xgboost,4,1,HOROZ,BOMBAY,0.2707143291083183
multi_imv_dry_bean,Dry Bean,xgboost,4,2,HOROZ,CALI,0.8276055859945505
multi_imv_dry_bean,Dry Bean,xgboost,4,3,HOROZ,DERMASON,0.5391869589636173
multi_imv_dry_bean,Dry Bean,xgboost,4,4,HOROZ,HOROZ,0.0
multi_imv_dry_bean,Dry Bean,xgboost,4,5,HOROZ,SEKER,0.9494023468686732
multi_imv_dry_bean,Dry Bean,xgboost,4,6,HOROZ,SIRA,0.7093547522618151
multi_imv_dry_bean,Dry Bean,xgboost,5,0,SEKER,BARBUNYA,0.6446700677342402
multi_imv_dry_bean,Dry Bean,xgboost,5,1,SEKER,BOMBAY,0.2574955513396668
multi_imv_dry_bean,Dry Bean,xgboost,5,2,SEKER,CALI,0.8009680309866971
multi_imv_dry_bean,Dry Bean,xgboost,5,3,SEKER,DERMASON,0.5575411350392131
multi_imv_dry_bean,Dry Bean,xgboost,5,4,SEKER,HOROZ,0.949402343611504
multi_imv_dry_bean,Dry Bean,xgboost,5,5,SEKER,SEKER,0.0
multi_imv_dry_bean,Dry Bean,xgboost,5,6,SEKER,SIRA,0.7472685315496179
multi_imv_dry_bean,Dry Bean,xgboost,6,0,SIRA,BARBUNYA,0.4925313463932863
multi_imv_dry_bean,Dry Bean,xgboost,6,1,SIRA,BOMBAY,0.1980041312062167
multi_imv_dry_bean,Dry Bean,xgboost,6,2,SIRA,CALI,0.6122004398205607
multi_imv_dry_bean,Dry Bean,xgboost,6,3,SIRA,DERMASON,0.6745113910858254
multi_imv_dry_bean,Dry Bean,xgboost,6,4,SIRA,HOROZ,0.7093547537119573
multi_imv_dry_bean,Dry Bean,xgboost,6,5,SIRA,SEKER,0.7472685290742659
multi_imv_dry_bean,Dry Bean,xgboost,6,6,SIRA,SIRA,0.0
multi_imv_dry_bean,Dry Bean,lightgbm,0,0,BARBUNYA,BARBUNYA,0.0
multi_imv_dry_bean,Dry Bean,lightgbm,0,1,BARBUNYA,BOMBAY,0.3933902654599271
multi_imv_dry_bean,Dry Bean,lightgbm,0,2,BARBUNYA,CALI,0.7723491238828871
multi_imv_dry_bean,Dry Bean,lightgbm,0,3,BARBUNYA,DERMASON,0.3723179131029156
multi_imv_dry_bean,Dry Bean,lightgbm,0,4,BARBUNYA,HOROZ,0.6791369128448491
multi_imv_dry_bean,Dry Bean,lightgbm,0,5,BARBUNYA,SEKER,0.6443516644038187
multi_imv_dry_bean,Dry Bean,lightgbm,0,6,BARBUNYA,SIRA,0.4927638415493569
multi_imv_dry_bean,Dry Bean,lightgbm,1,0,BOMBAY,BARBUNYA,0.3933902654599268
multi_imv_dry_bean,Dry Bean,lightgbm,1,1,BOMBAY,BOMBAY,0.0
multi_imv_dry_bean,Dry Bean,lightgbm,1,2,BOMBAY,CALI,0.3191932069346673
multi_imv_dry_bean,Dry Bean,lightgbm,1,3,BOMBAY,DERMASON,0.1471448998386878
multi_imv_dry_bean,Dry Bean,lightgbm,1,4,BOMBAY,HOROZ,0.270582978594516
multi_imv_dry_bean,Dry Bean,lightgbm,1,5,BOMBAY,SEKER,0.2573017172152488
multi_imv_dry_bean,Dry Bean,lightgbm,1,6,BOMBAY,SIRA,0.1978836389866955
multi_imv_dry_bean,Dry Bean,lightgbm,2,0,CALI,BARBUNYA,0.7723491238828871
multi_imv_dry_bean,Dry Bean,lightgbm,2,1,CALI,BOMBAY,0.319193206934667
multi_imv_dry_bean,Dry Bean,lightgbm,2,2,CALI,CALI,0.0
multi_imv_dry_bean,Dry Bean,lightgbm,2,3,CALI,DERMASON,0.4595513977164661
multi_imv_dry_bean,Dry Bean,lightgbm,2,4,CALI,HOROZ,0.8274298845874106
multi_imv_dry_bean,Dry Bean,lightgbm,2,5,CALI,SEKER,0.8007344715094635
multi_imv_dry_bean,Dry Bean,lightgbm,2,6,CALI,SIRA,0.6117598664228545
multi_imv_dry_bean,Dry Bean,lightgbm,3,0,DERMASON,BARBUNYA,0.3723179131029155
multi_imv_dry_bean,Dry Bean,lightgbm,3,1,DERMASON,BOMBAY,0.1471448998386878
multi_imv_dry_bean,Dry Bean,lightgbm,3,2,DERMASON,CALI,0.4595513977164661
multi_imv_dry_bean,Dry Bean,lightgbm,3,3,DERMASON,DERMASON,0.0
