seed,model,class,multi_imv,brier_loss,accuracy,precision,recall
42,logistic_regression,0,0.1487857460068654,0.16758182088330983,0.7233796296296297,0.7466307277628033,0.915702479338843
42,logistic_regression,1,0.0469944311776154,0.16150439834901775,0.7418981481481481,0.3480392156862745,0.18489583333333334
42,logistic_regression,2,0.0033187690377033,0.03775580290131919,0.9600694444444444,0.0,0.0
42,logistic_regression,3,0.0197701539273848,0.028738467783818597,0.9542824074074074,0.325,0.2
42,xgboost,0,0.4040418463653822,0.020284436083654538,0.9745370370370371,0.9890939597315436,0.9743801652892562
42,xgboost,1,0.251872044563883,0.03249565177334812,0.96875,0.9209183673469388,0.9401041666666666
42,xgboost,2,0.0342607039371893,0.011022305550580928,0.9913194444444444,0.8552631578947368,0.9420289855072463
42,xgboost,3,0.0354979499312336,0.005173944807493092,0.9959490740740741,0.9264705882352942,0.9692307692307692
42,lightgbm,0,0.4155575356942455,0.01151273154552133,0.9849537037037037,0.9958123953098827,0.9826446280991735
42,lightgbm,1,0.267690201405918,0.018124731870104435,0.9809027777777778,0.9511568123393316,0.9635416666666666
42,lightgbm,2,0.0372368589996187,0.006779256821040081,0.9924768518518519,0.868421052631579,0.9565217391304348
42,lightgbm,3,0.0372939769408317,0.0027626686042804736,0.9976851851851852,0.9420289855072463,1.0
43,logistic_regression,0,0.1481462844805749,0.1679861228077076,0.7181712962962963,0.7431069266980498,0.9132231404958677
43,logistic_regression,1,0.0459200386460107,0.16210294826239394,0.7413194444444444,0.3417085427135678,0.17708333333333334
43,logistic_regression,2,0.0033350638396983,0.037731007295380155,0.9600694444444444,0.0,0.0
43,logistic_regression,3,0.0197136373865012,0.02887900440731952,0.9542824074074074,0.3333333333333333,0.2153846153846154
43,xgboost,0,0.4048945775004048,0.01916419473803061,0.9814814814814815,0.9957912457912458,0.9776859504132231
43,xgboost,1,0.2526579387225926,0.03147910635972332,0.9733796296296297,0.9246231155778895,0.9583333333333334
43,xgboost,2,0.0343433152603269,0.011051666829913943,0.9884259259259259,0.8266666666666667,0.8985507246376812
43,xgboost,3,0.0355366108181724,0.00512725566543959,0.9953703703703703,0.9253731343283582,0.9538461538461539
43,lightgbm,0,0.4160425116952402,0.01105268726796889,0.9878472222222222,0.9983235540653814,0.984297520661157
43,lightgbm,1,0.2683693214505881,0.017340250951192078,0.9826388888888888,0.9561855670103093,0.9661458333333334
43,lightgbm,2,0.0375386621378179,0.006244837805858744,0.9918981481481481,0.8395061728395061,0.9855072463768116
43,lightgbm,3,0.0373543568232838,0.002677632023092808,0.9971064814814815,0.9545454545454546,0.9692307692307692
44,logistic_regression,0,0.1498680005234057,0.1672370933440152,0.7262731481481481,0.7474815312290127,0.9198347107438016
44,logistic_regression,1,0.0475702438663315,0.16143970692122395,0.7442129629629629,0.355,0.18489583333333334
44,logistic_regression,2,0.0029650734731188,0.03790631120547698,0.9600694444444444,0.0,0.0
44,logistic_regression,3,0.0195546456886341,0.0290161391708909,0.9548611111111112,0.3333333333333333,0.2
