model,class,class_name,multi_imv_mean,multi_imv_std,brier_loss_mean,brier_loss_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std
lightgbm,0,unacc,0.41536728846391524,0.0008059697272037659,0.01162201733582096,0.0008292261037529168,0.9866898148148149,0.002004688434686177,0.9984066647828488,0.001698563328836508,0.9825619834710743,0.0021498196159919214
lightgbm,1,acc,0.26776880398497227,0.0004300694946849208,0.01796455519527081,0.0005564544018049424,0.9813078703703704,0.0014448289591878255,0.9467159797013771,0.00637200583145425,0.9705729166666666,0.006144214711523043
lightgbm,2,good,0.037167190988280904,0.0003404013562809949,0.006932812826512219,0.000715467657843403,0.9918402777777778,0.0018791788391909858,0.8589662449311571,0.021429404260740578,0.9521739130434783,0.03134517526088568
lightgbm,3,vgood,0.03742344235037484,0.0001472562174835357,0.0024535843798950034,0.00034599032646359,0.997337962962963,0.0009528618082737875,0.9509680693522355,0.016605827432164447,0.9800000000000001,0.016297690853405867
logistic_regression,0,unacc,0.1478485998975053,0.0012055406089850225,0.1680185498933493,0.0004489724194602411,0.7216435185185185,0.003134274075862621,0.745093323651236,0.0018943119630790584,0.9157851239669421,0.0033389066173279986
logistic_regression,1,acc,0.04647512542428993,0.0008805023129128235,0.16183101683672826,0.0003998898152520567,0.7429976851851852,0.0033683229109165505,0.3498768076973015,0.013437076504106908,0.18229166666666669,0.0077641249218742756
logistic_regression,2,good,0.00310906224444849,0.00042676088554869117,0.037811434445524136,0.00012150761832234432,0.9600694444444444,0.0,0.0,0.0,0.0,0.0
logistic_regression,3,vgood,0.01962176655849236,0.00018403113176271966,0.028900858250767915,0.00022026738656900167,0.9548032407407409,0.0008386213394785498,0.3390650406504065,0.017447029451207244,0.2123076923076923,0.012135548273024847
xgboost,0,unacc,0.4042672100117299,0.0005351560753114365,0.019890139393190964,0.0004559961614791896,0.9783564814814815,0.0019520232470175121,0.9931901183027458,0.001985257366844049,0.9757851239669421,0.0020633590425425817
xgboost,1,acc,0.25200421157348635,0.00046766193820547655,0.03229476801238966,0.0005141293692929518,0.9706018518518519,0.0024216596954437283,0.9193056473338702,0.00888262433911057,0.9513020833333334,0.005496923680204034
xgboost,2,good,0.03414580412092734,0.0002567358719372371,0.011445222942198024,0.0005465972907814929,0.9887152777777779,0.0019719375289603143,0.8367334043800974,0.017660165209697546,0.8913043478260869,0.04334386097808298
xgboost,3,vgood,0.03557030709217905,0.0001754069343836415,0.005033571250709066,0.0004128081269476902,0.9954282407407407,0.0014030167087938621,0.9185464790423428,0.024967561263804214,0.9646153846153848,0.01925639318514726
