example,dataset,model,class,class_name,multi_imv_mean,multi_imv_std,brier_loss_mean,brier_loss_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std
multi_imv_car_evaluation,Car Evaluation,lightgbm,0,unacc,0.4153672884639152,0.0008059697272037,0.0116220173358209,0.0008292261037529,0.9866898148148148,0.0020046884346861,0.9984066647828488,0.0016985633288365,0.9825619834710744,0.0021498196159919
multi_imv_car_evaluation,Car Evaluation,lightgbm,1,acc,0.2677688039849722,0.0004300694946849,0.0179645551952708,0.0005564544018049,0.9813078703703704,0.0014448289591878,0.9467159797013772,0.0063720058314542,0.9705729166666666,0.006144214711523
multi_imv_car_evaluation,Car Evaluation,lightgbm,2,good,0.0371671909882809,0.0003404013562809,0.0069328128265122,0.0007154676578434,0.9918402777777778,0.0018791788391909,0.8589662449311571,0.0214294042607405,0.9521739130434784,0.0313451752608856
multi_imv_car_evaluation,Car Evaluation,lightgbm,3,vgood,0.0374234423503748,0.0001472562174835,0.002453584379895,0.0003459903264635,0.997337962962963,0.0009528618082737,0.9509680693522355,0.0166058274321644,0.98,0.0162976908534058
multi_imv_car_evaluation,Car Evaluation,logistic_regression,0,unacc,0.1478485998975053,0.001205540608985,0.1680185498933493,0.0004489724194602,0.7216435185185185,0.0031342740758626,0.745093323651236,0.001894311963079,0.915785123966942,0.0033389066173279
multi_imv_car_evaluation,Car Evaluation,logistic_regression,1,acc,0.0464751254242899,0.0008805023129128,0.1618310168367282,0.000399889815252,0.7429976851851852,0.0033683229109165,0.3498768076973015,0.0134370765041069,0.1822916666666666,0.0077641249218742
multi_imv_car_evaluation,Car Evaluation,logistic_regression,2,good,0.0031090622444484,0.0004267608855486,0.0378114344455241,0.0001215076183223,0.9600694444444444,0.0,0.0,0.0,0.0,0.0
multi_imv_car_evaluation,Car Evaluation,logistic_regression,3,vgood,0.0196217665584923,0.0001840311317627,0.0289008582507679,0.000220267386569,0.9548032407407409,0.0008386213394785,0.3390650406504065,0.0174470294512072,0.2123076923076923,0.0121355482730248
multi_imv_car_evaluation,Car Evaluation,xgboost,0,unacc,0.4042672100117299,0.0005351560753114,0.0198901393931909,0.0004559961614791,0.9783564814814816,0.0019520232470175,0.9931901183027458,0.001985257366844,0.975785123966942,0.0020633590425425
multi_imv_car_evaluation,Car Evaluation,xgboost,1,acc,0.2520042115734863,0.0004676619382054,0.0322947680123896,0.0005141293692929,0.970601851851852,0.0024216596954437,0.9193056473338702,0.0088826243391105,0.9513020833333334,0.005496923680204
