seed,model,f1_weighted,roc_auc_ovr_weighted,log_loss,hamming_loss,cohens_kappa,jaccard_weighted
42,logistic_regression,0.9240262286261522,0.9933977478988226,0.21438945627811312,0.0761149070604658,0.9079557231197182,0.8605807382213576
42,xgboost,0.9265525106403951,0.9941823682987699,0.1925190411818031,0.07346998751010213,0.9110939057181406,0.8648432091199663
42,lightgbm,0.928190268592682,0.9940772834504618,0.1967788070916772,0.07178017779736977,0.9131486317788594,0.867693716490775
43,logistic_regression,0.9239316836545177,0.993380814074003,0.21447115158462493,0.0761883770479759,0.9078668129428623,0.8604155738796269
43,xgboost,0.9258672180863534,0.9940888701857198,0.19381545146203902,0.07413121739769304,0.9103011661019071,0.8636747060941036
43,lightgbm,0.9284681550816707,0.9940347527064859,0.19602379821058774,0.07155976783483947,0.9134102282039214,0.8681113176391299
44,logistic_regression,0.9246854708347823,0.9934338411842619,0.21291583624915253,0.07545367717287488,0.9087558084673792,0.8616803718413724
44,xgboost,0.9268554725144916,0.9941364100837574,0.1927458573210119,0.07317610756006171,0.9114600535098702,0.8654301478399072
44,lightgbm,0.9255140187884403,0.9940265853262306,0.19656606764407536,0.07449856733524356,0.9098525443821395,0.8631786103371597
45,logistic_regression,0.9241487836371766,0.9934434239281352,0.21321286800188502,0.07596796708544559,0.9081346902315522,0.8608007204586592
45,xgboost,0.9282765072854047,0.9942140995768167,0.19226946485791863,0.07170670780985967,0.9132439022321125,0.8677869435122858
45,lightgbm,0.9274106545308108,0.994029533354027,0.19885634500003727,0.0725883476599809,0.912174325519492,0.8661819914948964
46,logistic_regression,0.9244432670810693,0.9934237606035313,0.21391334627794872,0.07567408713540519,0.9084949102495488,0.8612328079103645
46,xgboost,0.9280056049918478,0.994190451772006,0.19387323627629108,0.07200058775990008,0.9128949432019494,0.8672776263149266
46,lightgbm,0.9280096365707452,0.994153616179361,0.19534977551512456,0.07200058775990008,0.912887752793687,0.8673671309650492
47,logistic_regression,0.9239600003318911,0.9933600599029285,0.21459860661292138,0.0761883770479759,0.9078653443007372,0.8604628947992569
47,xgboost,0.9271838901634915,0.9941551259754614,0.19376780429241217,0.07280875762251121,0.9118988162568158,0.865961936246785
47,lightgbm,0.9269861617740784,0.9941443843347108,0.19598887892735645,0.07302916758504151,0.9116411997385522,0.8655930268766363
48,logistic_regression,0.924250069206244,0.9933725971024828,0.21407039527102506,0.0758944970979355,0.9082273369187353,0.8609415713753856
48,xgboost,0.928419991751472,0.9941685566600402,0.19273711685574968,0.07155976783483947,0.913416303100341,0.8682577049193267
48,lightgbm,0.9292235349282839,0.9940975065246201,0.1956495434576369,0.07075159797222834,0.9144004556029269,0.8695362707023279
49,logistic_regression,0.9239359009277528,0.993377384422742,0.21441087602148481,0.0761883770479759,0.9078713262284994,0.8603999632985007
49,xgboost,0.9268782155592444,0.9940805010874348,0.19418297042762817,0.07310263757255162,0.9115521909012285,0.865496067063926
49,lightgbm,0.9280126575644416,0.9941045496037444,0.1961853342821429,0.07200058775990008,0.9128969687031342,0.8674007227882617
50,logistic_regression,0.9251083548957056,0.9933890767056484,0.2138735150230493,0.07501285724781427,0.9092914509609045,0.8623692245937395
50,xgboost,0.9279161917478252,0.9941951361475975,0.1923699705169643,0.07207405774741019,0.9127906436767277,0.8672065188928549
50,lightgbm,0.9270197124844993,0.9941920152879353,0.1951291364540809,0.07295569759753141,0.9117219102714642,0.865566667633695
51,logistic_regression,0.9243046271576023,0.9933831768118389,0.21469973799930614,0.07582102711042539,0.9083107449330622,0.861012662621411
51,xgboost,0.9275286832755465,0.9942954948236914,0.19123438493479697,0.0724414076849607,0.9123472638967994,0.8664456343342247
51,lightgbm,0.9265793637415031,0.9941554211924438,0.19480964945248969,0.07346998751010213,0.9111014882222208,0.864957551297352
