example,dataset,model,f1_weighted_mean,f1_weighted_std,roc_auc_ovr_weighted_mean,roc_auc_ovr_weighted_std,log_loss_mean,log_loss_std,hamming_loss_mean,hamming_loss_std,cohens_kappa_mean,cohens_kappa_std,jaccard_weighted_mean,jaccard_weighted_std
multi_imv_car_evaluation,Car Evaluation,lightgbm,0.9788784585843242,0.0018245975177814,0.998986737863049,0.0003830582650798,0.0833451119390967,0.0028669209443907,0.021412037037037,0.0018502436432533,0.9538152983843132,0.0039674752174374,0.9594372241123758,0.003370049231604
multi_imv_car_evaluation,Car Evaluation,logistic_regression,0.6384355813348794,0.0032079858737686,0.7729464554142597,0.0012227358366877,0.6868369409916537,0.0014405867792464,0.3102430555555555,0.002994011107051,0.1631482263849169,0.0078241143569629,0.5241941410537245,0.0031113053467784
multi_imv_car_evaluation,Car Evaluation,xgboost,0.96693318335787,0.0029307816111204,0.9971355727847466,0.0004607042994381,0.1400607633931525,0.0019867960798089,0.033449074074074,0.0029608925701157,0.9279121544792296,0.0063207194420371,0.9375978106568112,0.0051490796411228
multi_imv_dry_bean,Dry Bean,lightgbm,0.9275414164057156,0.0010637534485216,0.994101564796002,5.917387706703971e-05,0.1961337336035208,0.0011383624347404,0.0724634486812137,0.0010736845422462,0.9123235505216398,0.0013026231690835,0.8665587006225284,0.0018249693954164
multi_imv_dry_bean,Dry Bean,logistic_regression,0.9242794386352896,0.0003804207682964,0.9933961882634396,2.805399640305979e-05,0.2140555789319511,0.0005946990568024,0.0758504151054294,0.0003828593979548,0.9082774148353,0.0004637063903543,0.8609896528999673,0.0006324518145668
multi_imv_dry_bean,Dry Bean,xgboost,0.9273484286016072,0.0008242811057161,0.9941707014611294,6.221430980903709e-05,0.1929515298126615,0.0009313063877068,0.0726471236499889,0.0008332358943925,0.9120999188595892,0.0010115642031756,0.8662380494338306,0.0014273369031283
multi_imv_nursery,Nursery,lightgbm,0.9976407310703864,0.0006026758084158,0.9999862082998792,1.162232955366266e-05,0.0567261582393906,0.000635226913055,0.0023594615993665,0.0006027596695115,0.9964596008333926,0.0009044019350898,0.9952993134319104,0.0011965244278871
multi_imv_nursery,Nursery,logistic_regression,0.787415303960438,0.0005258698482879,0.9176582308084535,6.52224120801745e-05,0.3926399649819893,0.0001264287190375,0.2125098970704671,0.0005278437582475,0.6810534175662523,0.0007910113082977,0.6787350272769006,0.0006013833503528
multi_imv_nursery,Nursery,xgboost,0.994031000120754,0.0005253380532826,0.9999162098031464,1.1440215068702577e-05,0.0803783091202779,0.0004917524102099,0.0059699129057798,0.0005254630927313,0.9910428259386256,0.0007882796768066,0.98817009878885,0.0010319709482668
